1	140	56.5
2	141	33.99
3	122	29.45
4	112	18.2
5	148	11.87
6	107	17.19
7	170	20.48
8	171	6.89
9	164	13.12
10	190	15.22
11	173	42.14
12	182	21.91
13	207	41.7
14	187	39.43
15	178	42.87
16	168	13.82
17	173	10.73
18	239	9.59
19	242	9.71
20	244	9.79
21	244	4.88
22	261	31.44
23	260	5.2
24	242	14.55
25	256	15.39
26	268	16.18
27	262	15.75
28	249	9.97
29	252	10.09
30	240	9.63
31	239	19.39
32	247	14.93
33	243	29.17
34	245	9.83
35	243	4.86
36	300	36.01
37	303	12.15
38	312	3.13
39	305	6.1
40	312	6.24
41	282	11.31
42	309	24.73
43	320	12.82
44	306	24.49
45	285	34.25
46	307	12.31
47	303	12.15
48	303	6.06
49	320	3.21
50	314	3.15
51	305	3.06
52	326	3.3
53	388	3.89
54	358	3.59
55	362	14.5
56	361	14.46
57	345	13.8
58	352	14.08
59	363	14.54
60	356	28.49
61	342	3.43
62	356	7.16
63	354	7.13
64	363	21.85
65	381	15.26
66	361	14.46
67	361	14.46
68	366	29.29
69	364	14.58
70	366	14.66
